name,category,top,numunits,tenure,preview,booking,notes,link
The Continuum [D15], ,,816,Freehold,21/4/2023,6/5/2023,Thiam Siew Ave,https://share.ecoprop.com/the-continuum/R065963D
CT FoodNEX [D26], ,,110,Freehold,8/5/2023,9/5/2023,Mandai Estate,https://share.ecoprop.com/ct-foodnex/R065963D
The Reserve Residences [D21], ,,732,99 years,13/5/2023,27/5/2023,Jalan Anak Bukit,https://share.ecoprop.com/the-reserve-residences/R065963D
Lentor Hill Residences [D26], ,,598,99 years,13/5/2023,27/5/2023,Lentor Central,https://share.ecoprop.com/lentor-hill-residences/R065963D
Newport Residences [D02], ,,246,Freehold,,,Anson Road,https://share.ecoprop.com/newport-residences/R065963D
Marina One Residences [D1],,,,,,,,https://share.ecoprop.com/Marina-One-Residences/R065963D
Sky Everton [D2],,,,,,,,https://share.ecoprop.com/Sky-Everton/R065963D
One Bernam [D2],,,,,,,,https://share.ecoprop.com/One-Bernam/R065963D
One Pearl Bank [D3],,,,,,,,https://share.ecoprop.com/One-Pearl-Bank/R065963D
The Landmark [D3],,,,,,,,https://share.ecoprop.com/The-Landmark/R065963D
Eden Residences Capitol [D6],,,,,,,,https://share.ecoprop.com/Eden-Residences-Capitol/R065963D
Concourse Skyline [D7],,,,,,,,https://share.ecoprop.com/Concourse-Skyline/R065963D
Midtown Bay [D7],,,,,,,,https://share.ecoprop.com/Midtown-Bay/R065963D
The M [D7],,,,,,,,https://share.ecoprop.com/The-M/R065963D
Midtown Modern [D7],,,,,,,,https://share.ecoprop.com/Midtown-Modern/R065963D
Klimt Cairnhill [D9],,,,,,,,https://share.ecoprop.com/Klimt-Cairnhill/R065963D
Kopar At Newton [D9],,,,,,,,https://share.ecoprop.com/Kopar-At-Newton/R065963D
The Lumos [D9],,,,,,,,https://share.ecoprop.com/The-Lumos/R065963D
TripleOne Somerset [D9],,,,,,,,https://share.ecoprop.com/TripleOne-Somerset/R065963D
3 Orchard By-The-Park [D10],,,,,,,,https://share.ecoprop.com/3-Orchard-By-The-Park/R065963D
Leedon Green [D10],,,,,,,,https://share.ecoprop.com/Leedon-Green/R065963D
One Draycott [D10],,,,,,,,https://share.ecoprop.com/One-Draycott/R065963D
Park Nova [D10],,,,,,,,https://share.ecoprop.com/Park-Nova/R065963D
Perfect Ten [D10],,,,,,,,https://share.ecoprop.com/Perfect-Ten/R065963D
Van Holland [D10],,,,,,,,https://share.ecoprop.com/Van-Holland/R065963D
White House Residences [D10],,,,,,,,https://share.ecoprop.com/White-House-Residences/R065963D
Wilshire Residences [D10],,,,,,,,https://share.ecoprop.com/Wilshire-Residences/R065963D
26 Newton [D11],,,,,,,,https://share.ecoprop.com/26-Newton/R065963D
Enchante [D11],,,,,,,,https://share.ecoprop.com/Enchante/R065963D
Ikigai [D11],,,,,,,,https://share.ecoprop.com/Ikigai/R065963D
Pullman Residence [D11],,,,,,,,https://share.ecoprop.com/Pullman-Residence/R065963D
Myra [D13],,,,,,,,https://share.ecoprop.com/Myra/R065963D
Mori [D14],,,,,,,,https://share.ecoprop.com/Mori/R065963D
Amber Park [D15],,,,,,,,https://share.ecoprop.com/Amber-Park/R065963D
Meyer Mansion [D15],,,,,,,,https://share.ecoprop.com/Meyer-Mansion/R065963D
The Line @ Tanjong Rhu [D15],,,,,,,,https://share.ecoprop.com/The-Line-Tanjong-Rhu/R065963D
Sceneca Residence [D16],,,,,,,,https://share.ecoprop.com/Sceneca-Residence/R065963D
Amo Residence [D20],,,,,,,,https://share.ecoprop.com/Amo-Residence/R065963D
Ki Residences [D21],,,,,,,,https://share.ecoprop.com/Ki-Residences/R065963D
Hillion Residences [D23],,,,,,,,https://share.ecoprop.com/Hillion-Residences/R065963D
The Botany At Dairy Farm [D23],,,,,,,,https://share.ecoprop.com/The-Botany-At-Dairy-Farm/R065963D
Lentor Modern [D26],,,,,,,,https://share.ecoprop.com/Lentor-Modern/R065963D
Cairnhill 16 [D9],,,,,,,,https://share.ecoprop.com/Cairnhill-16/R065963D
Boulevard 88 [D10],,,,,,,,https://share.ecoprop.com/Boulevard-88/R065963D
Wallich Residence [D2],,,,,,,,https://share.ecoprop.com/Wallich-Residence/R065963D
Corals At Keppel Bay [D4],,,,,,,,https://share.ecoprop.com/Corals-At-Keppel-Bay/R065963D
Cape Royale [D4],,,,,,,,https://share.ecoprop.com/Cape-Royale/R065963D
Reflections At Keppel Bay [D4],,,,,,,,https://share.ecoprop.com/Reflections-At-Keppel-Bay/R065963D
Seascape [D4],,,,,,,,https://share.ecoprop.com/Seascape/R065963D
Turquoise [D4],,,,,,,,https://share.ecoprop.com/Turquoise/R065963D
The Reef at King's Dock [D4],,,,,,,,https://share.ecoprop.com/The-Reef-at-King's-Dock/R065963D
Blossoms By The Park [D5],,,,,,,,https://share.ecoprop.com/Blossoms-By-The-Park/R065963D
