name,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
3 ORCHARD BY-THE-PARK,,CCR - [D10],Jul-17,0,no sales,3871,1/5/2023, ,https://share.ecoprop.com/3-ORCHARD-BY-THE-PARK/R065963D,0,no sales,4805,1/6/2019,0,no sales,3737,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,3744,2019,0,no sales,3470,2020,0,no sales,3426,2021,0,no sales,3701,2022,0,no sales,3737,2023
8 @ MOUNT SOPHIA,,CCR - [D09],,1474,1/3/2023,1707,1/4/2023, ,https://share.ecoprop.com/8-MOUNT-SOPHIA/R065963D,1635,1/7/2022,1841,1/6/2022,1474,half year,1707,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1447,2019,1518,2020,1373,2020,1506,2021,1524,2021,1571,2022,1418,2022,1474,2023,1707,2023
8 SAINT THOMAS,,CCR - [D09],,3134,1/4/2023,2614,1/7/2021, ,https://share.ecoprop.com/8-SAINT-THOMAS/R065963D,3535,1/10/2019,3716,1/1/2020,3134,half year,2614,no sales,0,NaT,0,NaT,0,no sales,0,no sales,3148,2019,3086,2019,2967,2020,2788,2020,2929,2021,2689,2021,0,no sales,0,no sales,3134,2023,0,no sales
8@WOODLEIGH,,RCR - [D13],,1693,1/5/2023,1385,1/11/2022, ,https://share.ecoprop.com/8@WOODLEIGH/R065963D,1714,1/10/2022,1697,1/10/2022,1686,half year,1385,no sales,0,NaT,0,NaT,1503,2018,1355,2018,1270,2019,1364,2019,1348,2020,1310,2020,1451,2021,1428,2021,1594,2022,1532,2022,1686,2023,0,no sales
A TREASURE TROVE,,OCR - [D19],,1465,1/4/2023,1427,1/5/2023, ,https://share.ecoprop.com/A-TREASURE-TROVE/R065963D,1465,1/4/2023,1427,1/5/2023,1412,half year,1422,half year,0,NaT,0,NaT,1097,2018,1049,2018,1132,2019,1097,2019,1149,2020,1050,2020,1163,2021,1084,2021,1293,2022,1230,2022,1412,2023,1422,2023
AALTO,,RCR - [D15],,0,no sales,2354,1/5/2023, ,https://share.ecoprop.com/AALTO/R065963D,0,no sales,2599,1/11/2021,0,no sales,2429,half year,0,no sales,0,NaT,0,no sales,1879,2018,0,no sales,1906,2019,0,no sales,2040,2020,0,no sales,2085,2021,0,no sales,2154,2022,0,no sales,2429,2023
ADAM PARK CONDOMINIUM,,CCR - [D11],,1722,1/4/2022,1996,1/4/2023, ,https://share.ecoprop.com/ADAM-PARK-CONDOMINIUM/R065963D,1722,1/4/2022,1996,1/4/2023,1722,no sales,1996,half year,0,NaT,0,NaT,1558,2018,0,no sales,0,no sales,1204,2019,1587,2020,1279,2020,0,no sales,1389,2021,1722,2022,1722,2022,0,no sales,1996,2023
ALLSWORTH PARK,,CCR - [D10],,0,no sales,2093,1/4/2023, ,https://share.ecoprop.com/ALLSWORTH-PARK/R065963D,0,no sales,2093,1/4/2023,0,no sales,1953,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,1517,2019,0,no sales,1548,2020,0,no sales,1665,2021,0,no sales,1664,2022,0,no sales,1953,2023
AMARYLLIS VILLE,,CCR - [D11],,1931,1/5/2023,2044,1/4/2023, ,https://share.ecoprop.com/AMARYLLIS-VILLE/R065963D,1931,1/5/2023,2044,1/4/2023,1878,half year,1950,half year,0,NaT,0,NaT,1595,2018,1608,2018,1490,2019,1551,2019,1538,2020,1611,2020,1674,2021,1698,2021,1817,2022,1818,2022,1878,2023,1950,2023
AMBER PARK,,RCR - [D15],Q3 2023,2679,1/5/2023,2679,1/5/2023, ,https://share.ecoprop.com/AMBER-PARK/R065963D,2827,1/4/2023,2960,1/8/2021,2713,half year,2447,half year,2508,1/4/2023,2334,1/5/2023,0,no sales,0,no sales,2488,2019,2476,2019,2477,2020,2440,2020,2474,2021,2428,2021,2538,2022,2488,2022,2713,2023,2447,2023
