name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,dev,landprice,psf_gfa,numunits,notes,devlink,projlink
Lentor Gardens,,,13/4/2023,,Residential (Non-Landed),99,494290,,2028,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=999,GuocoLand (Singapore) Pte. Ltd. and Intrepid Investments Pte. Ltd.,486800222,,,,,
Marina Gardens Lane,Central/South,,27/6/2023,private (790+ units),Residential with Commercial at 1st Sty,99,131805,738114,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/marina-gardens-lane,,,,,,,
Jalan Tembusu,,,18/7/2023,,Residential (Non-Landed),99,221436,775034,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/jlntembusu,,,,,,,
Lentor Central,,,12/9/2023,,Residential (Non-Landed),99,158264,443139,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Lentor-Central-apr23,,,,,,,
Champions Way,,,12/9/2023,,Residential (Non-Landed),99,155351,326243,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Champions-Way,,,,,,,
Media Circle,,,,,Mix,,114098,,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1012,,,,,,,
Marina Gardens Crescent,,,,White Site,Mix,,,,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1013,,,,,,,
Woodlands Avenue 2,,reserved,,White Site,Commercial / Residential (500+ units),99,296008,,,,,,,,,,
Pine Grove (Parcel B),,reserved,,,Residential (Non-Landed),99,269098,,,,,,,,,,
Clementi Avenue 1,,reserved,,,Residential (Non-Landed),99,143160,,,,,,,,,,
Lentor Gardens,,reserved,,,Residential (Non-Landed),99,221737,,,,,,,,,,
Lorong 1 Toa Payoh,,reserved,,,Residential (Non-Landed),99,166841,,,,,,,,,,
TBC (Former 551-553 Bukit Timah Rd & 6-8 Dukes Rd) Bukit Timah Rd / Dukes Rd,Central/South,,,,,Freehold,,,,,,,,56,Leave your contact using the link,,https://share.ecoprop.com/tbc/R065963D
TBC (Former Watten Estate Condominium) Shelford Rd,Central/South,,,,,Freehold,,,,,,,,286,Leave your contact using the link,,https://share.ecoprop.com/tbc/R065963D
Giverny Robin Dr,Central/South,,,,,Freehold,,,,,,,,13,Leave your contact using the link,,https://share.ecoprop.com/tbc/R065963D
TBC (Former 34 Gilstead Road) Gilstead Rd,Central/South,,,,,Freehold,,,,,,,,56,Leave your contact using the link,,https://share.ecoprop.com/tbc/R065963D
TBC (Former Chancery Court) Dunearn Rd,Central/South,,,,,99,,,,,,,,481,Leave your contact using the link,,https://share.ecoprop.com/tbc/R065963D
